Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct,Explaination,Image
A 33-year-old female presents with numbness and weakness in the right side of her face for several days as shown in the image. The remainder of her examination is normal and she has no other symptoms. Which of the following is the next best step in management? ,Valacyclovir ,Prednisone ,Tissue plasminogen activator ,Sour candy ,Amoxicillin–clavulanic acid ,B,"With unilateral upper and lower facial weakness and the absence of other concerning neurologic  features, the diagnosis is very likely idiopathic facial nerve palsy, also known as Bell palsy. Steroid therapy  (prednisone 60 mg daily for 1 week) has been shown to improve outcomes in Bell palsy, but antiviral therapy  in the absence of steroids appears to have no effect. Tissue plasminogen activator would be indicated for an  acute ischemic stroke within 3 hours of presentation, but would not be appropriate in this case. Sour candy  can be used to treat sialolithiasis, but there is no observable swelling to suggest this. Antibiotics are not  indicated for the management of Bell palsy. (Figure from Salimpour RR, Salimpour P, Salimpour P.  Photographic Atlas of Pediatric Disorders and Diagnosis. 1st ed. Philadelphia, PA: Wolters Kluwer; 2013.)",t1-1.png
"A 23-year-old female presents with 2 days of fever and severe right ankle pain and swelling. She denies a history of trauma. Past medical history is unremarkable. Physical examination reveals significant edema, effusion, tenderness, and pain on range of motion in the right ankle. Which of the following is the most likely etiology? ",S. aureus ,S. pneumoniae ,S. pyogenes ,Salmonella ,E.N. gonorrhoeae ,E,"The patient has evidence of acute monoarticular arthritis. In a young, sexually active patient  without prior history of arthritis, the most likely bacterial cause is gonococcus. The overall most common  cause of septic arthritis is S. aureus. Choices B, C, and D are less common causes. Septic arthritis is a joint threatening infection diagnosed by synovial fluid analysis. It must be aggressively treated with intravenous  antibiotics and possible surgical irrigation, even though gonococcal arthritis rarely requires surgical  management. ",
A 77-year-old male with Parkinson disease is brought to the hospital with obstipation. His abdomen is distended and mildly tender with decreased bowel sounds. His abdominal x-ray is shown in the image. Which of the following is the most likely diagnosis? ,Small bowel ischemia ,Viscus perforation ,Sigmoid volvulus ,Swallowed air ,Gastric outlet obstruction,C,"The image indicates sigmoid volvulus. Abdominal radiography lacks sensitivity for small bowel  ischemia and signs such as thumbprinting and pneumatosis are rare. Viscus perforation would be suspected if  there were free air seen under the diaphragm, but abdominal radiography is incompletely sensitive for  evaluation of perforation. Swallowed air would be unlikely to cause abdominal distention and obstipation.  Gastric outlet obstruction might not demonstrate any findings on x-ray. Of all the answer choices, sigmoid  volvulus is the only diagnosis that can be made solely relying on abdominal radiography. (Figure from  Daffner RH. Clinical Radiology: The Essentials. 3rd ed. Philadelphia, PA: Lippincott Williams & Wilkins; 2007.)",t1-3.png
"A 27-year-old female without past medical history presents with 2 days of pain in her right ear. The patient notes that the symptoms started with an itchy ear which progressed to pain, discharge, and hearing loss. Examination reveals an afebrile patient who is nontoxic, with moderate tenderness on manipulation of the auricle, erythema and edema of the tympanic canal, and no external rash. Cranial nerve examination is normal. Which of the following will be most helpful in treating this condition? ",Antihistamines ,Tympanostomy tubes ,Systemic antivirals ,Adenoidectomy ,Acetic acid otic washes ,E,"The patient has otitis externa, inflammation of the external ear, and tympanic canal almost  always because of infection. Trauma and excessive moisture are commonly implicated in the development of  the condition. Patients generally present with otalgia and otorrhea. Debridement of the external ear canal is  the most important aspect of treatment. In nontoxic patients, this is achieved with topical acetic acid washes  with or without topical antibiotics and steroids. A cotton or methylcellulose wick for drainage of the  tympanic canal may be placed 1 cm deep in the ear and stays for 2 days. Systemically ill patients or diabetic  patients require systemic antibiotics and sometimes admission. Antihistamines can be used for symptomatic  relief but do not affect the duration of illness. Tympanostomy tubes and adenoidectomy may be indicated for  prevention of chronic/recurrent otitis media but have no effect on acute management of otitis externa.  Herpes zoster can occur in the ear and is referred to as Ramsay Hunt syndrome. This condition requires antivirals and is associated with a vesicular rash and sometimes cranial nerve palsies. ",
"A 35-year-old female without any past medical history presents with a red, painful region on her right arm where she had a bug bite 3 days before. She denies fever. She is allergic to penicillin. Vital signs are normal. Physical examination is remarkable for a 10 × 6 cm2 area on her right arm that is red, warm, tender, and sharply demarcated. There is no lymphangitic streaking or axillary lymphadenopathy. You diagnose her with cellulitis. Which of the following is the most appropriate choice of antibiotic? ",Clindamycin ,Doxycycline ,Dicloxacillin ,Linezolid ,Metronidazole ,A,"Cellulitis in the healthy patient is most often caused by Streptococci and Staphylococci. In most  communities, methicillin-resistant Staphylococcus aureus (MRSA) accounts for a significant number of  staphylococcal infections. Thus, initial antibiotic therapy is usually with a penicillinase-resistant penicillin or  first-generation cephalosporin to treat streptococci plus TMP-SMX to treat MRSA. Doxycycline covers MRSA  but is inadequate against streptococci, so it should be combined with amoxicillin (or cephalexin).  Clindamycin can be used as monotherapy, but there is significant resistance to clindamycin among MRSA  isolates in many communities. This patient has an allergy to penicillin, and dicloxacillin is therefore  contraindicated. In addition, dicloxacillin is ineffective against MRSA. Linezolid is an effective, relatively new  treatment that is generally reserved for infections that are not amenable to treatment with the other options  listed above. Metronidazole covers anaerobes only and would not be appropriate as monotherapy for  cellulitis. Note that in its most recent guidelines (2011), the Infectious Disease Society of America  differentiates between purulent and nonpurulent cellulitis. The rationale behind this division is to illustrate  that MRSA is typically responsible for abscess formation and the development of purulent drainage. Thus, in  cases in which both cellulitis and an abscess are present (or forming), empiric therapy directed only at MRSA  is appropriate, and dual therapy is unnecessary. Clindamycin, doxycycline, TMP-SMX, and linezolid are all useful for monotherapy in this setting.",
Clinically significant hypermagnesemia almost always occurs in the setting of: ,Renal insufficiency ,Pancreatitis ,Trauma ,Laxative abuse ,Alcoholism ,A,"The kidneys are almost wholly responsible for magnesium excretion and are able to enhance  excretion in the setting of a magnesium load. Therefore, in the absence of renal insufficiency,  hypermagnesemia rarely occurs. Abuse of magnesium-containing laxatives may cause a transient increase in  magnesium levels but will not persist in the setting of normal renal function. Trauma could feasibly lead to  hypermagnesemia if associated with rhabdomyolysis. ",
Which of the following is true about myasthenia gravis (MG)? ,Incidence peaks in the eighth decade of life. ,Sensory deficits are most severe in the lower extremities. ,The most frequent initial symptom is dysarthria. ,Cooling decreases symptoms. ,Muscle weakness tends to worsen after long periods of rest. ,D,"The fact that cooling improves the symptoms of MG is the basis for the “ice test.” When ptosis is  present, an ice pack is placed over the affected eye for 2 minutes. It is thought that the local cooling results in  a slowing of the kinetics of the acetylcholine receptor, allowing for a prolonged effect of acetylcholine and an  improvement in symptoms. In clinical studies, 80% of patients with ptosis due to MG experienced some  improvement with a locally applied ice pack. MG has a bimodal peak of incidence with the first peak in the  20s and the second peak in the 50s. Interestingly, women are more commonly affected during the first peak,  but men are more commonly affected in the second peak. Sensory loss is not a feature of MG. The most  frequent initial symptoms of MG are ptosis and diplopia due to ocular muscular weakness or weakness of the  levator palpebrae superioris. ",
"A 57-year-old female with a history of hypertension presents with headache, mild confusion, and vomiting.  She describes an acutely worsening global headache over the last several hours with nausea and vomiting. A  family member states she is confused. She admits to noncompliance with her blood pressure medications for  the last week. Vital signs are: T 98.4, HR 92, BP 220/130, RR 20, SpO2 97%. Examination reveals a patient  in moderate discomfort, papilledema, hypertensive retinopathy, and a nonfocal neurologic examination.  Laboratory studies, EKG, and noncontrast CT brain are all normal. Which of the following is the most  appropriate next step in management? ",Neurosurgical consultation ,Reduction of blood pressure by 25% ,Lumbar puncture ,Corticosteroids ,Noncontrast MRI of the brain ,B,"The patient has hypertensive encephalopathy. The history of acute headache with vomiting and  confusion in the setting of severely elevated blood pressure is characteristic. Neuroimaging with CT scan is  often normal. The treatment is immediate reduction of blood pressure by as much as 30%. By definition,  hypertensive encephalopathy is reversible when blood pressure is reduced. Neurosurgical consultation may be  indicated later in the course, but blood pressure management should be instituted early. Lumbar puncture  would be contraindicated in this circumstance due to the papilledema indicating increased intracranial  pressure. Corticosteroids are indicated in cases of temporal arteritis, which is on the differential diagnosis but  is far less common than hypertensive encephalopathy and requires the presence of an elevated erythrocyte sedimentation rate. MRI of the brain can add important structural information but is not indicated emergently. ",
The hallmark of rubella is: ,Generalized lymphadenopathy ,Tonsillar exudates ,Koplik spots ,Febrile seizures ,Pastia lines ,A,"In children, rubella (German measles) is characterized by a minimal prodromal illness (as opposed to adults), a “3-day rash,” and generalized lymphadenopathy. Forchheimer spots, pinpoint or larger  erythematous spots on the soft palate, may also be found. However, similar lesions may also be seen in  measles and scarlet fever, so the presence of Forschheimer spots is not pathognomonic for rubella. The rash is  a pink-red maculopapular eruption that first appears on the face and rapidly spreads downward to the neck,  arms, trunk, and legs. On the second day, it begins to disappear from the face and the entire rash typically  disappears by the end of the third day. Lymphadenopathy is generalized but most commonly involves the  suboccipital, postauricular, and cervical nodes. Although lymph node tenderness typically subsides after 1 to  2 days, lymphadenopathy may persist for several weeks. Tonsillar exudates are present in several causes of  pharyngitis. Koplik spots are pathognomonic for measles. Febrile seizures classically occur in patients with  roseola infantum (exanthem subitum). Pastia lines occur in scarlet fever. ",
"A 24-year-old male presents with bloody diarrhea for 2 days. Which of the following antibiotics is considered  first-line therapy to treat all of the following organisms: Salmonella, Shigella, Yersinia, Vibrio, and  enterotoxigenic E. coli (ETEC)?",Trimethoprim–sulfamethoxazole ,Doxycycline ,Metronidazole ,Ciprofloxacin ,Erythromycin ,D,"Ciprofloxacin is the drug of choice for most causes of invasive bacterial diarrhea. The one exception to this is Campylobacter diarrhea, which has a high resistance to ciprofloxacin, especially in strains  from Southeast Asia. Treatment with macrolides is preferred with Campylobacter infections. Trimethoprim– sulfamethoxazole can be used to treat Yersinia, Vibrio, ETEC, and certain parasites. Doxycycline is used as  alternate therapy for Vibrio. Metronidazole is the drug of choice to treat C. difficile and Giardia. ",
